Sample Name,solute_smiles,RT,Solvent,Solubility,solvent_smiles
2-Hydroxy-4-(trifluoromethyl)aniline,C1=CC(=C(C=C1C(F)(F)F)O)N,5.242,MeOH,0,CO
2-Iodobenzaldehyde,C1=CC=C(C(=C1)C=O)I,5.212,MeOH,1,CO
2-Iodobenzyl_bromide,C1=CC=C(C(=C1)CBr)I,5.787,MeOH,0,CO
2-Iodopyridine,C1=CC=NC(=C1)I,4.373,MeOH,1,CO
2-Isopropylthioxanthone,CC(C)C1=CC2=C(C=C1)SC3=CC=CC=C3C2=O,6.361,MeOH,0,CO
"2-Methyl-5-(trifluoromethyl)-1,3-benzoxazole",CC1=NC2=C(O1)C=CC(=C2)C(F)(F)F,5.205,MeOH,1,CO
"3,3-Dimethyl-1-indanone",CC1(CC(=O)C2=CC=CC=C21)C,5.04,MeOH,1,CO
"3,4,5-TRIBROMO-1H-PYRAZOLE",C1(=C(NN=C1Br)Br)Br,4.899,MeOH,1,CO
"3,4,7,8-Tetramethyl-1,10-phenanthroline",CC1=CN=C2C(=C1C)C=CC3=C(C(=CN=C32)C)C,3.473,MeOH,0,CO
"3,5-Di-tert-butylbenzoic acid",CC(C)(C)C1=CC(=CC(=C1)C(=O)O)C(C)(C)C,5.809,MeOH,1,CO
"3,5-Dibromotoluene",CC1=CC(=CC(=C1)Br)Br,6.23,MeOH,1,CO
"3,5-Dimethylbenzoyl_chloride",CC1=CC(=CC(=C1)C(=O)Cl)C,4.754,MeOH,1,CO
"3,6-Dimethoxy-9H-carbazole",COC1=CC2=C(C=C1)NC3=C2C=C(C=C3)OC,5.255,MeOH,0,CO
3-(2-Naphthyl)acrylic_acid,C1=CC=C2C=C(C=CC2=C1)/C=C/C(=O)O,5.054,MeOH,0,CO
3-(Phenylthio)propanoic-acid,C1=CC=C(C=C1)SCCC(=O)O,4.682,MeOH,1,CO
3-(tert-Butoxycarbonyl)benzoic_acid,CC(C)(C)OC(=O)C1=CC=CC(=C1)C(=O)O,5.126,MeOH,1,CO
3-Bromobenzoyl_chloride,C1=CC(=CC(=C1)Br)C(=O)Cl,4.835,MeOH,1,CO
3-Bromopropionyl_chloride,C(CBr)C(=O)Cl,2.918,MeOH,1,CO
3-Chloro-4-methoxyaniline,COC1=C(C=C(C=C1)N)Cl,3.019,MeOH,1,CO
3-[[(9H-Fluoren-9-ylmethoxy)carbonyl]amino]-2-naphthalenecarboxylic acid,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35,6.491,MeOH,0,CO
"4,4',4''-Trimethoxytrityl chloride",COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)(C3=CC=C(C=C3)OC)Cl,5.641,MeOH,1,CO
"4,4'-Dihydroxybiphenyl",C1=CC(=CC=C1C2=CC=C(C=C2)O)O,4.374,MeOH,0,CO
"4,4'-Dimethoxybenzophenone",COC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)OC,5.396,MeOH,0,CO
"4,4?,4??-(1,3,5-TRIAZINE-2,4,6-TRIYL)TRIBENZALDEHYDE",C1=CC(=CC=C1C=O)C2=NC(=NC(=N2)C3=CC=C(C=C3)C=O)C4=CC=C(C=C4)C=O,5.238,MeOH,0,CO
4-(Bromomethyl)benzoic_acid,C1=CC(=CC=C1CBr)C(=O)O,4.688,MeOH,0,CO
4-(Hydroxymethyl)phenylacetic-acid,C1=CC(=CC=C1CC(=O)O)CO,3.398,MeOH,1,CO
4-(Trifluoroacetyl)phenacyl-bromide,C1=CC(=CC=C1C(=O)CBr)C(=O)C(F)(F)F,4.708,MeOH,1,CO
4-(Trifluoromethyl)benzylamine,C1=CC(=CC=C1CN)C(F)(F)F,0.0,MeOH,1,CO
"4-Bromo-3,5-dimethoxybenzoic acid",COC1=CC(=CC(=C1Br)OC)C(=O)O,4.778,MeOH,0,CO
4-Bromo-L-phenylalanine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)Br,3.24,MeOH,0,CO
4-Chlorobenzenesulfonic_acid,C1=CC(=CC=C1S(=O)(=O)O)Cl,4.811,MeOH,1,CO
4-Chloropyridine-3-carboxylic_acid,C1=CN=CC(=C1Cl)C(=O)O,1.327,MeOH,0,CO
"4-Hydroxy-3,5-diiodobenzoic acid",C1=C(C=C(C(=C1I)O)I)C(=O)O,4.728,MeOH,0,CO
4-Hydroxyphthalic_acid,C1=CC(=C(C=C1O)C(=O)O)C(=O)O,3.49,MeOH,1,CO
4-Methoxybiphenyl,COC1=CC=C(C=C1)C2=CC=CC=C2,5.826,MeOH,0,CO
4-Methoxytriphenylamine,COC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,6.436,MeOH,0,CO
4-tert-Butylbenzoyl_chloride,CC(C)(C)C1=CC=C(C=C1)C(=O)Cl,5.176,MeOH,1,CO
