Sample Name,solvent_name,solute_smiles,predicted_logS,predicted_logS_stdev
8-Isoquinolinecarboxaldehyde,water,O=Cc1cccc2ccncc12,-1.2110995,0.2558461
Bis(diphenylphosphino)methane,water,C(P(c1ccccc1)c2ccccc2)P(c3ccccc3)c4ccccc4,-2.4587638,0.18556547
DL-beta-Phenylalanine,water,NC(CC(O)=O)c1ccccc1,-1.3272994,0.47381046
Di-tert-butylcyclopentadiene,water,CC(C)(C)C1=C(C=CC1)C(C)(C)C,-0.24696271,0.080918096
Dibenzyl-malonate,water,[O-]C(=O)C(Cc1ccccc1)(Cc2ccccc2)C([O-])=O,-0.925318,0.20889343
Dibromomaleic-acid,water,OC(=O)/C(Br)=C(/Br)C(O)=O,-1.8843782,0.36733836
Diethyl 4-Methoxyphenylphosphonate,water,CCO[P](=O)(OCC)c1ccc(OC)cc1,-0.077265486,0.13628392
"Dimethyl 1,3-cyclohexadiene-1,4-dicarboxylate",water,COC(=O)C1=CC=C(CC1)C(=O)OC,-1.5858569,0.18272136
"Dimethyl 2,2'-bipyridine-4,4'-dicarboxylate",water,COC(=O)c1ccnc(c1)c2cc(ccn2)C(=O)OC,-2.6811552,0.2775018
Dimethyl-propargylmalonate,water,COC(=O)C(CC#C)C(=O)OC,-0.35887465,0.2829216
Ethyl 2-cyclohexanoneacetate,water,CCOC(=O)CC1CCCCC1=O,-0.27722484,0.19163118
Ethyl 3-thiopheneacetate,water,CCOC(=O)Cc1cscc1,-0.0061065257,0.14964251
"Ethyl 4,4,4-trifluoroacetoacetate",water,CCOC(=O)CC(=O)C(F)(F)F,0.51978076,0.42690986
Ethyl mesitylglyoxylate,water,CCOC(=O)C(=O)c1c(C)cc(C)cc1C,-0.17050022,0.22580494
Ethyl-3-oxohexanoate,water,CCCC(=O)CC(=O)OCC,0.21945643,0.1722334
Ethyl-4-bromocrotonate,water,CCOC(=O)\C=C\CBr,0.23996055,0.20856142
Ethyl-4-iodobenzoate,water,CCOC(=O)c1ccc(I)cc1,-0.4020292,0.13254619
Flavanone,water,O=C1CC(Oc2ccccc12)c3ccccc3,-1.2189025,0.17505509
Hematein,water,Oc1ccc2c(OCC3(O)CC4=CC(=O)C(=CC4=C23)O)c1O,-2.8954563,0.18385221
METHYL 2-PHTHALIMIDOACETATE,water,COC(=O)CN1C(=O)c2ccccc2C1=O,-2.7461214,0.2909468
"Methyl 6-oxo-1,6-dihydropyridine-2-carboxylate",water,COC(=O)C1=CC=CC(=O)N1,-0.9010444,0.092933305
"Methyl-2,6-dimethoxybenzoate",water,COC(=O)c1c(OC)cccc1OC,-0.60945404,0.14125548
Methyl-3-bromo-4-iodobenzoate,water,COC(=O)c1ccc(I)c(Br)c1,-1.3540927,0.33395582
"Methyl-6-Oxo-1,6-dihydropyridazine-3-carboxylate",water,COC(=O)C1=NNC(=O)C=C1,-1.362103,0.37319887
Methyl-diethylphosphonoacetate,water,CCO[P](=O)(OCC)C(C)C([O-])=O,-0.027430773,0.1062309
N(im)-Trityl-L-histidine,water,N[C@@H](Cc1cn(cn1)C(c2ccccc2)(c3ccccc3)c4ccccc4)C(O)=O,-1.2581002,0.18104085
"N,N-Dimethyl-L-phenylalanine",water,CN(C)[C@@H](Cc1ccccc1)C(O)=O,-0.59698814,0.2166095
N-Acetyl-L-tryptophan,water,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,-3.3370059,0.15471998
N-Benzylidenebenzylamine,water,C(N=Cc1ccccc1)c2ccccc2,-0.32135788,0.11276326
N-Phthaloylglycine,water,OC(=O)CN1C(=O)c2ccccc2C1=O,-2.9872646,0.3443917
"N6-[(1,1-Dimethylethoxy)carbonyl]-N2-[(9H-fluoren-9-ylmethoxy)carbonyl]-2-methyl-D-lysine",water,CC(C)(C)OC(=O)NCCCC[C@@](C)(NC(=O)OCC1c2ccccc2c3ccccc13)C(O)=O,-2.1181645,0.11730576
"N6-[(1,1-Dimethylethoxy)carbonyl]-N2-[(phenylmethoxy)carbonyl]-L-lysine",water,CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(O)=O,-1.6363819,0.113388024
Nalpha-[(9H-Fluoren-9-ylmethoxy)carbonyl]-L-threonine tert-Butyl-Ester,water,C[C@@H](O)[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(=O)OC(C)(C)C,-1.7686554,0.19709854
Phenyl-benzoate,water,O=C(Oc1ccccc1)c2ccccc2,-0.4856108,0.18462911
Pindolol,water,CC(C)NCC(O)COc1cccc2[nH]ccc12,-1.3377651,0.23267269
Z-D-Phg-OH,water,OC(=O)[C@H](NC(=O)OCc1ccccc1)c2ccccc2,-1.1577417,0.27417168
"meso-1,2-Dibromo-1,2-diphenylethane",water,Br[C@@H]([C@H](Br)c1ccccc1)c2ccccc2,-1.8827608,0.27137384
pentafluorobenzyl-bromide,water,Fc1ccc(c(F)c1F)C(F)(F)Br,0.020145908,0.095439754
"trans-1,2-Bis(phenylsulfonyl)ethylene",water,O=[S](=O)(\C=C\[S](=O)(=O)c1ccccc1)c2ccccc2,-2.1141338,0.24766313
(1-BROMOETHYL)BENZENE,water,CC(Br)c1ccccc1,0.28772783,0.1790207
(2S)-2-{[(9H-fluoren-9-ylmethoxy)carbonyl]amino}-4-hydroxybutanoic acid,water,OCC[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(O)=O,-2.1367688,0.29202947
"(2S,5S)-1-Hydroxy-2,5-diphenylphospholane 1-oxide",water,O[P]1(=O)[C@@H](CC[C@H]1c2ccccc2)c3ccccc3,-1.1845362,0.08893558
(R)-(-)-2-Methoxy-2-phenylethanol,water,CO[C@@H](CO)c1ccccc1,0.68253136,0.023560047
"(S)-(-)-2-Amino-3-methyl-1,1-diphenyl-1-butanol",water,CC(C)[C@H](N)C(O)(c1ccccc1)c2ccccc2,-0.52310026,0.09692581
(S)-Benzyl 2-(((S)-1-methoxy-4-methyl-1-oxopentan-2-yl)carbamoyl)pyrrolidine-1-carboxylate,water,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)OCc2ccccc2,-0.7095966,0.12960649
"1,1,1-Tris(4-hydroxyphenyl)ethane",water,CC(c1ccc(O)cc1)(c2ccc(O)cc2)c3ccc(O)cc3,-2.4510865,0.18574561
"1,1,3-Triphenylpropargyl alcohol",water,OC(C#Cc1ccccc1)(c2ccccc2)c3ccccc3,-0.7616734,0.17219202
"1,2-Bis(4-hydroxyphenyl)ethane-1,2-dione",water,Oc1ccc(cc1)C(=O)C(=O)c2ccc(O)cc2,-2.0782442,0.26224396
"1,3-Bis(trifluoromethyl)-5-bromobenzene",water,FC(F)(F)c1cc(Br)cc(c1)C(F)(F)F,-0.22149034,0.12843075
"1,3-Butanediol-diacrylate",water,CC(O)CCO.OC(=O)C=C.OC(=O)C=C,-2.1328921,0.23542337
"1,3-Dimethyl 2-[(4-methoxyphenyl)methylene]propanedioate",water,COC(=O)C(=Cc1ccc(OC)cc1)C(=O)OC,-1.3167746,0.20331946
